run_id,t_s,event,details
A_ample_none_i0,0.6500000000000001,merge_started,
A_ample_none_i0,3.65,merge_completed,
A_ample_none_i1,2.05,merge_started,
A_ample_none_i1,5.05,merge_completed,
A_ample_none_i2,1.2500000000000002,merge_started,
A_ample_none_i2,4.25,merge_completed,
A_ample_prepare_i0,0.6500000000000001,merge_started,
A_ample_prepare_i0,3.65,merge_completed,
A_ample_prepare_i1,2.0,merge_started,
A_ample_prepare_i1,5.0,merge_completed,
A_ample_prepare_i2,1.2500000000000002,merge_started,
A_ample_prepare_i2,4.25,merge_completed,
A_collaborative_none_i0,1.2000000000000002,merge_started,
A_collaborative_none_i0,4.2,merge_completed,
A_collaborative_none_i1,2.55,merge_started,
A_collaborative_none_i1,5.3,merge_exit_before_completion,started_but_failed
A_collaborative_none_i2,4.15,merge_started,
A_collaborative_none_i2,5.25,merge_exit_before_completion,started_but_failed
A_collaborative_prepare_i0,1.2000000000000002,merge_started,
A_collaborative_prepare_i0,4.2,merge_completed,
A_collaborative_prepare_i1,2.45,merge_started,
A_collaborative_prepare_i1,5.3500000000000005,merge_exit_before_completion,started_but_failed
A_collaborative_prepare_i2,4.95,merge_started,
A_collaborative_prepare_i2,5.3,merge_exit_before_completion,started_but_failed
A_short_window_none_i0,5.25,missed_window,missed_window
A_short_window_none_i1,5.3,missed_window,missed_window
A_short_window_none_i2,5.25,missed_window,missed_window
A_short_window_prepare_i0,5.25,missed_window,missed_window
A_short_window_prepare_i1,5.3,missed_window,missed_window
A_short_window_prepare_i2,5.3,missed_window,missed_window
B_ample_none_i0,1.2500000000000002,merge_started,
B_ample_none_i0,4.25,merge_completed,
B_ample_none_i1,3.05,merge_started,
B_ample_none_i1,5.25,merge_exit_before_completion,started_but_failed
B_ample_none_i2,1.5000000000000002,merge_started,
B_ample_none_i2,4.5,merge_completed,
B_ample_prepare_i0,1.2500000000000002,merge_started,
B_ample_prepare_i0,4.25,merge_completed,
B_ample_prepare_i1,2.85,merge_started,
B_ample_prepare_i1,5.3,merge_exit_before_completion,started_but_failed
B_ample_prepare_i2,1.5000000000000002,merge_started,
B_ample_prepare_i2,4.5,merge_completed,
B_collaborative_none_i0,1.4500000000000002,merge_started,
B_collaborative_none_i0,4.45,merge_completed,
B_collaborative_none_i1,3.2,merge_started,
B_collaborative_none_i1,5.4,merge_exit_before_completion,started_but_failed
B_collaborative_none_i2,3.35,merge_started,
B_collaborative_none_i2,5.3,merge_exit_before_completion,started_but_failed
B_collaborative_prepare_i0,1.4500000000000002,merge_started,
B_collaborative_prepare_i0,4.45,merge_completed,
B_collaborative_prepare_i1,3.0,merge_started,
B_collaborative_prepare_i1,5.45,merge_exit_before_completion,started_but_failed
B_collaborative_prepare_i2,4.45,merge_started,
B_collaborative_prepare_i2,5.3500000000000005,merge_exit_before_completion,started_but_failed
B_short_window_none_i0,5.25,missed_window,missed_window
B_short_window_none_i1,5.3500000000000005,missed_window,missed_window
B_short_window_none_i2,5.3,missed_window,missed_window
B_short_window_prepare_i0,5.3,missed_window,missed_window
B_short_window_prepare_i1,5.4,missed_window,missed_window
B_short_window_prepare_i2,5.3,missed_window,missed_window
C_ample_none_i0,1.3,merge_started,
C_ample_none_i0,4.3,merge_completed,
C_ample_none_i1,3.15,merge_started,
C_ample_none_i1,5.3,merge_exit_before_completion,started_but_failed
C_ample_none_i2,1.5000000000000002,merge_started,
C_ample_none_i2,4.5,merge_completed,
C_ample_prepare_i0,1.3,merge_started,
