run_id,method,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,min_net_gap_m,hard_violation_count,road_violation_count,safety_correction_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
A_ample_none_i0,A,ample,none,0,completed,1,SUCCESS,,0.6500000000000001,3.65,11.251064264926082,0,0,7,3.799955392668559,2.5,0.12217753253934756,0.04698459996143356,0.0,0.0,0.0,0.0,3.727611221697933,5.326624772951129
A_ample_none_i1,A,ample,none,1,completed,1,SUCCESS,,2.05,5.05,10.601417033255029,0,0,9,4.091943781108452,2.500000000000002,0.15671588431525507,0.05029179999837652,0.0,0.0,0.0,0.0,2.923626372870316,3.1023960426535795
A_ample_none_i2,A,ample,none,2,completed,1,SUCCESS,,1.2500000000000002,4.25,9.773354193167858,0,0,8,4.185103705025071,2.5,0.11522782402231964,0.041380300011951476,0.0,0.0,0.0,0.0,3.729689440118043,4.751587824557898
A_ample_prepare_i0,A,ample,prepare,0,completed,1,SUCCESS,,0.6500000000000001,3.65,11.13088765225491,0,0,7,3.799955392668559,2.500000000000002,0.21823138818016835,0.04775660001905635,0.0,0.0,0.0,0.0,7.751576261336124,7.502720728862749
A_ample_prepare_i1,A,ample,prepare,1,completed,1,SUCCESS,,2.0,5.0,11.0057157145099,0,0,8,3.5025105620003765,2.500000000000002,0.24056089047373735,0.050501500023528934,0.0,0.0,0.0,0.0,6.4643437341223615,5.789886704002999
A_ample_prepare_i2,A,ample,prepare,2,completed,1,SUCCESS,,1.2500000000000002,4.25,9.660435799189951,0,0,8,4.113135034612444,2.500000000000002,0.19274437350175094,0.05269959999714047,0.0,0.0,0.0,0.0,7.498666725296425,6.695378250247289
A_collaborative_none_i0,A,collaborative,none,0,completed,1,SUCCESS,,1.2000000000000002,4.2,8.164424129616247,0,0,43,3.9703988821939302,2.500000000000001,0.40746891847501904,0.04925749998074025,0.0,0.0,0.0,0.0,12.221744642787927,11.646905141124824
A_collaborative_none_i1,A,collaborative,none,1,started_but_failed,0,FAILED,started_but_failed,2.55,,8.210927233328942,0,0,50,4.171689398352929,2.500000000000002,0.44320229094797803,0.04285799997160211,0.0,0.0,0.0,0.0,11.455956813295357,10.859532952401038
A_collaborative_none_i2,A,collaborative,none,2,started_but_failed,0,FAILED,started_but_failed,4.15,,13.217533591032304,0,0,49,4.746550477782575,2.5,0.538058573685441,0.05322559998603538,0.0,0.0,0.0,0.0,31.923603164098076,40.466809776621346
A_collaborative_prepare_i0,A,collaborative,prepare,0,completed,1,SUCCESS,,1.2000000000000002,4.2,7.041043051373447,0,0,83,4.38406824714894,2.5000000000000044,0.8307519715468421,0.04417589999502525,0.0,0.0,0.0,0.0,54.634365213673426,78.12475794502264
