run_id,old_row_present,current_row_present,compared_field_count,mismatch_count,max_abs_numeric_delta
A_ample_none_i0,1,1,24,0,0
A_ample_none_i1,1,1,24,0,0
A_ample_none_i2,1,1,24,0,0
A_ample_prepare_i0,1,1,24,0,0
A_ample_prepare_i1,1,1,24,0,0
A_ample_prepare_i2,1,1,24,0,0
A_collaborative_none_i0,1,1,24,0,0
A_collaborative_none_i1,1,1,24,0,0
A_collaborative_none_i2,1,1,24,0,0
A_collaborative_prepare_i0,1,1,24,0,0
A_collaborative_prepare_i1,1,1,24,0,0
A_collaborative_prepare_i2,1,1,24,0,0
A_short_window_none_i0,1,1,24,0,0
A_short_window_none_i1,1,1,24,0,0
A_short_window_none_i2,1,1,24,0,0
A_short_window_prepare_i0,1,1,24,0,0
A_short_window_prepare_i1,1,1,24,0,0
A_short_window_prepare_i2,1,1,24,0,0
B_ample_none_i0,1,1,24,0,0
B_ample_none_i1,1,1,24,0,0
B_ample_none_i2,1,1,24,0,0
B_ample_prepare_i0,1,1,24,0,0
B_ample_prepare_i1,1,1,24,0,0
B_ample_prepare_i2,1,1,24,0,0
B_collaborative_none_i0,1,1,24,0,0
B_collaborative_none_i1,1,1,24,0,0
B_collaborative_none_i2,1,1,24,0,0
B_collaborative_prepare_i0,1,1,24,0,0
B_collaborative_prepare_i1,1,1,24,0,0
B_collaborative_prepare_i2,1,1,24,0,0
B_short_window_none_i0,1,1,24,0,0
B_short_window_none_i1,1,1,24,0,0
B_short_window_none_i2,1,1,24,0,0
B_short_window_prepare_i0,1,1,24,0,0
B_short_window_prepare_i1,1,1,24,0,0
B_short_window_prepare_i2,1,1,24,0,0
C_ample_none_i0,1,1,24,0,0
C_ample_none_i1,1,1,24,0,0
C_ample_none_i2,1,1,24,0,0
C_ample_prepare_i0,1,1,24,0,0
C_ample_prepare_i1,1,1,24,0,0
C_ample_prepare_i2,1,1,24,0,0
C_collaborative_none_i0,1,1,24,0,0
C_collaborative_none_i1,1,1,24,0,0
C_collaborative_none_i2,1,1,24,0,0
C_collaborative_prepare_i0,1,1,24,0,0
C_collaborative_prepare_i1,1,1,24,0,0
C_collaborative_prepare_i2,1,1,24,0,0
C_short_window_none_i0,1,1,24,0,0
C_short_window_none_i1,1,1,24,0,0
C_short_window_none_i2,1,1,24,0,0
C_short_window_prepare_i0,1,1,24,0,0
C_short_window_prepare_i1,1,1,24,0,0
C_short_window_prepare_i2,1,1,24,0,0
D_ample_none_i0,1,1,24,0,0
D_ample_none_i1,1,1,24,0,0
D_ample_none_i2,1,1,24,0,0
D_ample_prepare_i0,1,1,24,0,0
D_ample_prepare_i1,1,1,24,0,0
D_ample_prepare_i2,1,1,24,0,0
D_collaborative_none_i0,1,1,24,0,0
D_collaborative_none_i1,1,1,24,0,0
D_collaborative_none_i2,1,1,24,0,0
D_collaborative_prepare_i0,1,1,24,0,0
D_collaborative_prepare_i1,1,1,24,0,0
D_collaborative_prepare_i2,1,1,24,0,0
D_short_window_none_i0,1,1,24,0,0
D_short_window_none_i1,1,1,24,0,0
D_short_window_none_i2,1,1,24,0,0
D_short_window_prepare_i0,1,1,24,0,0
D_short_window_prepare_i1,1,1,24,0,0
D_short_window_prepare_i2,1,1,24,0,0
E_ample_none_i0,1,1,24,0,0
E_ample_none_i1,1,1,24,0,0
E_ample_none_i2,1,1,24,0,0
E_ample_prepare_i0,1,1,24,0,0
E_ample_prepare_i1,1,1,24,0,0
E_ample_prepare_i2,1,1,24,0,0
E_collaborative_none_i0,1,1,24,0,0
E_collaborative_none_i1,1,1,24,0,0
E_collaborative_none_i2,1,1,24,0,0
E_collaborative_prepare_i0,1,1,24,0,0
E_collaborative_prepare_i1,1,1,24,0,0
E_collaborative_prepare_i2,1,1,24,0,0
E_short_window_none_i0,1,1,24,0,0
E_short_window_none_i1,1,1,24,0,0
E_short_window_none_i2,1,1,24,0,0
E_short_window_prepare_i0,1,1,24,0,0
E_short_window_prepare_i1,1,1,24,0,0
E_short_window_prepare_i2,1,1,24,0,0
