K_MR_mean_s-1,K_RM_mean_s-1,completion_time_s,compute_time_s,disturbance,failure_type,hard_violation_count,init_variant,max_abs_jerk_mps3,mean_abs_jerk_mps3,merge_start_time_s,method,min_net_gap_m,outcome,pair_gain_total_error_max_s-1,road_violation_count,run_id,safety_correction_abs_mean_mps2,safety_correction_count,scenario,space_feedback_abs_mean_s-1,success,task_phase,total_effort_integral_m2_s3,total_speed_deficit_integral_m_s
0.0,0.0,3.65,0.3188397999620065,none,,0,0,2.5,0.12217753253934756,0.6500000000000001,A,11.251064264926082,completed,0.0,0,A_ample_none_i0,3.799955392668559,7,ample,0.0,1,SUCCESS,5.326624772951129,3.727611221697933
0.0,0.0,5.05,0.43379730003653094,none,,0,1,2.500000000000002,0.15671588431525507,2.05,A,10.601417033255029,completed,0.0,0,A_ample_none_i1,4.091943781108452,9,ample,0.0,1,SUCCESS,3.1023960426535795,2.923626372870316
0.0,0.0,4.25,0.30995589995291084,none,,0,2,2.5,0.11522782402231964,1.2500000000000002,A,9.773354193167858,completed,0.0,0,A_ample_none_i2,4.185103705025071,8,ample,0.0,1,SUCCESS,4.751587824557898,3.729689440118043
0.0,0.0,3.65,0.5143948000040837,prepare,,0,0,2.500000000000002,0.21823138818016835,0.6500000000000001,A,11.13088765225491,completed,0.0,0,A_ample_prepare_i0,3.799955392668559,7,ample,0.0,1,SUCCESS,7.502720728862749,7.751576261336124
0.0,0.0,5.0,0.3798458999954164,prepare,,0,1,2.500000000000002,0.24056089047373735,2.0,A,11.0057157145099,completed,0.0,0,A_ample_prepare_i1,3.5025105620003765,8,ample,0.0,1,SUCCESS,5.789886704002999,6.4643437341223615
0.0,0.0,4.25,0.6724337000050582,prepare,,0,2,2.500000000000002,0.19274437350175094,1.2500000000000002,A,9.660435799189951,completed,0.0,0,A_ample_prepare_i2,4.113135034612444,8,ample,0.0,1,SUCCESS,6.695378250247289,7.498666725296425
0.0,0.0,4.2,0.4034564000321552,none,,0,0,2.500000000000001,0.40746891847501904,1.2000000000000002,A,8.164424129616247,completed,0.0,0,A_collaborative_none_i0,3.9703988821939302,43,collaborative,0.0,1,SUCCESS,11.646905141124824,12.221744642787927
0.0,0.0,,0.3441194999613799,none,started_but_failed,0,1,2.500000000000002,0.44320229094797803,2.55,A,8.210927233328942,started_but_failed,0.0,0,A_collaborative_none_i1,4.171689398352929,50,collaborative,0.0,0,FAILED,10.859532952401038,11.455956813295357
0.0,0.0,,0.40439010004047304,none,started_but_failed,0,2,2.5,0.538058573685441,4.15,A,13.217533591032304,started_but_failed,0.0,0,A_collaborative_none_i2,4.746550477782575,49,collaborative,0.0,0,FAILED,40.466809776621346,31.923603164098076
0.0,0.0,4.2,0.41776939999544993,prepare,,0,0,2.5000000000000044,0.8307519715468421,1.2000000000000002,A,7.041043051373447,completed,0.0,0,A_collaborative_prepare_i0,4.38406824714894,83,collaborative,0.0,1,SUCCESS,78.12475794502264,54.634365213673426
