scenario,disturbance,init_variant,label,witness_method,replay_note,reason,initial_gap_m,target_gap_m,remaining_distance_m,min_forward_distance_m,necessary_bound_label,optimistic_max_gap_m,optimistic_time_s,late_start_bound,bound_reason,found,trials,wait_s,a_M_mps2,a_R_mps2,search_note
ample,none,0,feasible_witness,A,independent_replay_ok,saved successful discrete trajectory replay-checked independently,30.2,30.2,96.0,55.849300000000085,not_excluded,870.2,16.0,0,,0,0,,,,not needed after replay witness
ample,none,1,feasible_witness,bounded_piecewise_search,,bounded piecewise candidate passed discrete occupancy and endpoint checks,30.2,30.2,99.0,50.74930000000009,not_excluded,867.0,16.0,0,,1,40,2.0,0.0,-2.0,bounded piecewise candidate passed discrete occupancy and endpoint checks
ample,none,2,feasible_witness,B,independent_replay_ok,saved successful discrete trajectory replay-checked independently,27.2,27.2,97.0,55.849300000000056,not_excluded,876.8000000000001,16.0,0,,0,0,,,,not needed after replay witness
ample,prepare,0,feasible_witness,A,independent_replay_ok,saved successful discrete trajectory replay-checked independently,30.2,30.2,96.0,55.849300000000085,not_excluded,870.2,16.0,0,,0,0,,,,not needed after replay witness
ample,prepare,1,feasible_witness,bounded_piecewise_search,,bounded piecewise candidate passed discrete occupancy and endpoint checks,30.2,30.2,99.0,50.74930000000009,not_excluded,867.0,16.0,0,,1,40,2.0,0.0,-2.0,bounded piecewise candidate passed discrete occupancy and endpoint checks
ample,prepare,2,feasible_witness,A,independent_replay_ok,saved successful discrete trajectory replay-checked independently,27.2,27.2,97.0,55.849300000000056,not_excluded,876.8000000000001,16.0,0,,0,0,,,,not needed after replay witness
collaborative,none,0,feasible_witness,bounded_piecewise_search,,bounded piecewise candidate passed discrete occupancy and endpoint checks,21.2,21.400000000000002,94.0,54.349300000000085,not_excluded,853.2,16.0,0,,1,28,1.5,-2.0,-2.0,bounded piecewise candidate passed discrete occupancy and endpoint checks
collaborative,none,1,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,21.2,21.400000000000002,97.0,49.24930000000012,not_excluded,850.0,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
collaborative,none,2,feasible_witness,bounded_piecewise_search,,bounded piecewise candidate passed discrete occupancy and endpoint checks,18.2,21.400000000000002,95.0,54.349300000000056,not_excluded,859.8000000000001,16.0,0,,1,37,2.0,-2.0,-2.0,bounded piecewise candidate passed discrete occupancy and endpoint checks
collaborative,prepare,0,feasible_witness,bounded_piecewise_search,,bounded piecewise candidate passed discrete occupancy and endpoint checks,21.2,21.400000000000002,94.0,54.349300000000085,not_excluded,853.2,16.0,0,,1,28,1.5,-2.0,-2.0,bounded piecewise candidate passed discrete occupancy and endpoint checks
collaborative,prepare,1,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,21.2,21.400000000000002,97.0,49.24930000000012,not_excluded,850.0,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
collaborative,prepare,2,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,18.2,21.400000000000002,95.0,54.349300000000056,not_excluded,859.8000000000001,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
short_window,none,0,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,92.0,52.84930000000017,not_excluded,837.2,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
short_window,none,1,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,95.0,47.74930000000005,not_excluded,834.0,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
short_window,none,2,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,10.2,21.400000000000002,93.0,52.84930000000011,not_excluded,843.8000000000001,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
short_window,prepare,0,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,92.0,52.84930000000017,not_excluded,837.2,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
short_window,prepare,1,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,13.2,21.400000000000002,95.0,47.74930000000005,not_excluded,834.0,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
short_window,prepare,2,unresolved,,,no witness and no valid exclusion; controller failure is not physical infeasibility,10.2,21.400000000000002,93.0,52.84930000000011,not_excluded,843.8000000000001,16.0,0,,0,45,,,,bounded piecewise candidates exhausted; no witness claim
