run_id,t_s,method,ablation,scenario,disturbance,init_variant,vehicle,s_m,y_m,v_mps,a_mps2,q,qdot_nominal_s-1,qdot_base_s-1,qdot_space_s-1,qdot_partner_s-1,qdot_clipped_s-1,K_to_partner_s-1,W_to_partner,z_self,z_other,g_FR_m,target_gap_physical_m,target_gap_process_m,gap_error_m,lower_m,upper_m,interval_width_m,s_ref_m,s_ref_dot_mps,s_ref_ddot_mps2,reference_kind,target_time_s,merge_progress,task_phase,a_nom_mps2,a_safety_target_mps2,a_actual_mps2,jerk_mps3,nominal_actual_difference_mps2,safety_correction_mps2,safety_correction_applied,action_saturation_applied,action_correction_reason,F_disturbance_mps2,final_state
A_ample_none_i0,0.0,A,,ample,none,0,M,74.0,3.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,30.2,30.2,0.0,78.1,85.5,7.400000000000006,81.8,18.25,0.0,slot_midpoint,,0.0,PREPARE,-0.3000000000000007,-0.3000000000000007,-0.125,-2.5,0.1750000000000007,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.0,A,,ample,none,0,R,65.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,30.2,30.2,0.0,78.1,85.5,7.400000000000006,81.8,18.25,0.0,slot_midpoint,,0.0,PREPARE,0.5,0.5,0.125,2.5,-0.375,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.0,A,,ample,none,0,F,100.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,30.2,30.2,0.0,78.1,85.5,7.400000000000006,,,,slot_midpoint,,0.0,PREPARE,-0.425,-0.425,-0.125,-2.5,0.3,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.0,A,,ample,none,0,B,38.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,30.2,30.2,0.0,78.1,85.5,7.400000000000006,,,,slot_midpoint,,0.0,PREPARE,0.26535382436490534,0.26535382436490534,0.125,2.5,-0.14035382436490534,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.05,A,,ample,none,0,M,75.09984374999999,3.6,21.99375,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.224687499999984,30.2,30.2,0.024687499999984652,79.00234375000001,86.42703125,7.42468749999999,82.7146875,18.29375,0.0,slot_midpoint,,0.0,PREPARE,-0.3162890624999979,-0.3162890624999979,-0.25,-2.5,0.06628906249999789,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.05,A,,ample,none,0,R,65.90015625000001,0.0,18.00625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.224687499999984,30.2,30.2,0.024687499999984652,79.00234375000001,86.42703125,7.42468749999999,82.7146875,18.29375,0.0,slot_midpoint,,0.0,PREPARE,0.498362499999989,0.498362499999989,0.25,2.5,-0.248362499999989,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.05,A,,ample,none,0,F,100.92484375,0.0,18.49375,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.224687499999984,30.2,30.2,0.024687499999984652,79.00234375000001,86.42703125,7.42468749999999,,,,slot_midpoint,,0.0,PREPARE,-0.41968749999999877,-0.41968749999999877,-0.25,-2.5,0.16968749999999877,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.05,A,,ample,none,0,B,38.90015625,0.0,18.00625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.224687499999984,30.2,30.2,0.024687499999984652,79.00234375000001,86.42703125,7.42468749999999,,,,slot_midpoint,,0.0,PREPARE,0.2640727854790042,0.2640727854790042,0.25,2.5,-0.014072785479004202,0.0,0,1,jerk_limit,0.0,
A_ample_none_i0,0.1,A,,ample,none,0,M,76.19921874999999,3.6,21.98125,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.248437499999977,30.2,30.2,0.04843749999997726,79.90734375000001,87.35578124999999,7.448437499999983,83.6315625,18.3375,0.0,slot_midpoint,,0.0,PREPARE,-0.3281640624999964,-0.3281640624999964,-0.3281640624999964,-1.5632812499999282,0.0,0.0,0,0,,0.0,
A_ample_none_i0,0.1,A,,ample,none,0,R,66.80078125000001,0.0,18.01875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.248437499999977,30.2,30.2,0.04843749999997726,79.90734375000001,87.35578124999999,7.448437499999983,83.6315625,18.3375,0.0,slot_midpoint,,0.0,PREPARE,0.48381249999998943,0.48381249999998943,0.375,2.5,-0.10881249999998943,0.0,0,1,jerk_limit,0.0,
