run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
A_ample_none_i0,A,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2000000000000002,4.2,30.2,21.400000000000002,8.629978079723198,0,0,0,0,10,0.0,2.5,0.06879118856845316,0.11037329997634515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07370716413856936,0.07370716413856936,3.2618395653373082
A_ample_none_i1,A,,ample,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,16.96658360254504,0,0,0,0,18,0.0,2.5,0.10221874751707694,0.2728062000242062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11918877726522706,0.11918877726522706,2.807777278557312
A_ample_none_i2,A,,ample,none,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.85,,27.2,21.400000000000002,8.548826578804675,0,0,0,0,15,0.0,2.5,0.08390818286641204,0.1340082999668084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5352318980584382,0.5352318980584382,3.6512107544190555
A_ample_prepare_i0,A,,ample,prepare,0,completed,1,SUCCESS_RELEASE,,1.2000000000000002,4.2,30.2,21.400000000000002,8.629978079723198,0,0,0,0,42,0.0,2.500000000000002,0.17978051574781845,0.11581980000482872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3808254892243057,2.3808254892243057,6.006238812612834
A_ample_prepare_i1,A,,ample,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,16.76891202963385,0,0,0,0,45,0.0,2.500000000000002,0.203738523156197,0.2781880000256933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5202103505250713,2.5202103505250713,4.959827952677087
A_ample_prepare_i2,A,,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.85,4.8500000000000005,27.2,21.400000000000002,8.559753778127142,0,0,0,0,46,0.0,2.500000000000002,0.18845996482047267,0.1419218999799341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4209272785656437,2.4209272785656437,6.125862452686678
A_collaborative_none_i0,A,,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.423752629612533,0,0,0,0,12,0.0,2.5,0.05263836857739238,0.2820230000070296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58414669667832,0.58414669667832,3.328709554281663
A_collaborative_none_i1,A,,collaborative,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.429351085546056,0,0,0,0,9,0.0,2.5,0.05797358523514521,0.27587700000731274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29836670295073386,0.29836670295073386,1.1416736977650916
A_collaborative_none_i2,A,,collaborative,none,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.405288001526298,0,0,0,0,18,0.0,2.5,0.08767335814641637,0.27314509998541325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579374397771392,4.579374397771392,4.09901587267933
A_collaborative_prepare_i0,A,,collaborative,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.261843495884147,0,0,0,0,43,0.0,2.5,0.17189415856825557,0.29234129999531433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.419693954504847,4.419693954504847,6.0878762321429205
A_collaborative_prepare_i1,A,,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.271892055441537,0,0,0,0,38,0.0,2.5,0.1687163899665387,0.28916700003901497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0717621448878054,3.0717621448878054,3.266702440714146
A_collaborative_prepare_i2,A,,collaborative,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,16.272100545881425,0,0,0,0,49,0.0,2.5,0.1969096639058821,0.28283680003369227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.249846699045555,9.249846699045555,6.862940416836293
A_short_window_none_i0,A,,short_window,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,13.001562500000073,0,0,0,0,54,0.0,2.5,0.23559703981350938,0.3231273000128567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.311502429632927,18.311502429632927,14.067606213329146
A_short_window_none_i1,A,,short_window,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.868593750000098,0,0,0,0,51,0.0,2.5,0.21897310761750513,0.31012410001130775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.229939119572034,15.229939119572034,10.451865588128813
A_short_window_none_i2,A,,short_window,none,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.205156250000012,0,0,0,0,65,0.0,2.5,0.2676139949601568,0.2917401999584399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.71931748559342,24.71931748559342,17.892688197807196
A_short_window_prepare_i0,A,,short_window,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,13.001562500000073,0,0,0,0,77,0.0,2.5,0.32879436075700974,0.31894110003486276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.14639725408011,24.14639725408011,18.921326252884953
A_short_window_prepare_i1,A,,short_window,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,12.868593750000098,0,0,0,0,72,0.0,2.5,0.32252122060516736,0.3821886000223458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.82131635683977,20.82131635683977,14.77858005714889
A_short_window_prepare_i2,A,,short_window,prepare,2,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,10.205156250000012,0,0,0,0,83,0.0,2.5,0.35625848458082865,0.3017253000289202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.543202979076842,30.543202979076842,22.261309395662536
B_ample_none_i0,B,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.406829090500349,0,0,0,4,43,3.0636643092197784,2.5,0.12431235148289137,0.11854500003391877,0.0,0.0,0.0,0.06299999999999999,0.115625,0.0,0.0,0.0,0.2963024999999998,0.0,0.0,0.2669169506256677,0.2669169506256677,5.948850981726076
