run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3,intervention_method,intervention_ablation
C_ample_none_i0,C,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.463046302116009,0,0,0,41,41,0.5039740712432846,2.5,0.1358399535732177,0.3043560999794863,0.0,0.008100566160312924,0.0005051604906694226,0.06320579725048762,0.115625,0.0022515653677963672,0.009093000580410909,0.0,0.29652456387254256,0.04501557632398753,0.04501557632398753,4.9150016443237154,4.9150016443237154,6.324665211428251,C,full
C_ample_none_i0_no_space,C,no_space,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.512706862841252,0,0,0,41,41,0.4904726992772976,2.5,0.13481917443496166,0.30300130002433434,0.0,0.0,0.0004937156908306423,0.06303348614324511,0.115625,0.0015412642120000719,0.0019909569294300623,0.0,0.29762072622400704,0.04501557632398753,0.04501557632398753,4.881223982677064,4.881223982677064,6.249261398532228,C,no_space
C_ample_none_i0_fixed_W,C,fixed_W,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.478059686118893,0,0,0,41,41,0.4994738756806908,2.500000000000001,0.1354561160121874,0.459558000031393,0.0,0.008073561132087625,0.0006184848417994939,0.0632159687375459,0.115625,0.0025621287378705796,0.00954927363566639,0.0,0.29679499787260766,0.04501557632398753,0.04501557632398753,4.904896031414408,4.904896031414408,6.302322567722796,C,fixed_W
C_ample_none_i0_no_partner,C,no_partner,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.397303946593365,0,0,0,43,42,0.5008898155449654,2.5,0.13647311480472063,0.3114165000151843,0.0,0.008215209048735003,0.0,0.06316630498815051,0.115625,0.000673346414006882,0.007138693942289543,0.0,0.2952081187101586,0.04501557632398753,0.04501557632398753,4.961298933139503,4.961298933139503,6.432656514557635,C,no_partner
D_ample_none_i0,D,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.458659315529939,0,0,0,41,41,0.5053869692433945,2.5,0.1359651296299333,0.29646869999123737,0.0,0.008108512631412053,0.0005046645433582775,0.06323468128559896,0.115625,0.0022512695580116427,0.009095963991310303,0.0,0.2964656888948251,0.039938259601213666,0.050092893046761414,4.917923849866321,4.917923849866321,6.331148894737663,D,full
D_ample_none_i0_symmetric_k,D,symmetric_k,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.463046302116009,0,0,0,41,41,0.5039740712432846,2.5,0.1358399535732177,0.2885560999857262,0.0,0.008100566160312924,0.0005051604906694226,0.06320579725048762,0.115625,0.0022515653677963672,0.009093000580410909,0.0,0.29652456387254256,0.04501557632398753,0.04501557632398753,4.9150016443237154,4.9150016443237154,6.324665211428251,D,symmetric_k
C_ample_prepare_i2,C,,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,7.232102687836556,0,0,29,189,188,1.7130025474808577,2.500000000000002,0.5240476803162839,0.3540038999635726,0.0,0.015356778818882283,0.0005792897648075646,0.06313401397723972,0.14375,0.003011761852074055,0.011562316408911321,0.0,0.3313745825854498,0.04978193146417444,0.04978193146417444,67.34762505270567,67.34762505270567,55.90324645266451,C,full
C_ample_prepare_i2_no_space,C,no_space,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,7.134204001239152,0,0,31,189,187,1.7017925028156022,2.500000000000002,0.5239316406882957,0.3444193999748677,0.0,0.0,0.0005717319436058146,0.06368166870696627,0.140625,0.002515631775628115,0.0016237123597084124,0.0,0.3320557641416582,0.04978193146417444,0.04978193146417444,67.8678625397454,67.8678625397454,56.110045858611684,C,no_space
C_ample_prepare_i2_fixed_W,C,fixed_W,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,7.239827515747817,0,0,29,189,187,1.7127391112954014,2.500000000000002,0.5240827679145735,0.34627640002872795,0.0,0.015486922306341605,0.0006122452198532412,0.06314230724902699,0.14375,0.0029907499176482057,0.011729970041197075,0.0,0.3313913289484688,0.04978193146417444,0.04978193146417444,67.40616491340843,67.40616491340843,55.939864877177556,C,fixed_W
C_ample_prepare_i2_no_partner,C,no_partner,ample,prepare,2,completed,1,SUCCESS_RELEASE,,1.7000000000000002,4.7,27.2,21.400000000000002,7.134023871941008,0,0,30,190,189,1.7303137552843653,2.500000000000002,0.526673612534451,0.372841700038407,0.0,0.016203022420405104,0.0,0.0630909457613637,0.14375,0.0004313300755880965,0.010154144153139899,0.0,0.3296466387377187,0.04978193146417444,0.04978193146417444,70.61376795617825,70.61376795617825,57.96804138247766,C,no_partner
