run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
A_ample_none_i0,A,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2000000000000002,4.2,30.2,21.400000000000002,8.629978079723198,0,0,0,15,15,0.16882747232280995,2.500000000000002,0.09385056389471659,0.1308590000262484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.180818886707179,3.180818886707179,3.622523990109174
A_ample_none_i1,A,,ample,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,19.658754488362046,0,0,0,20,20,0.4380203654962015,2.5,0.11637934410392403,0.3705216000089422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009744353676458496,0.009744353676458496,2.987099410773766
A_ample_none_i2,A,,ample,none,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.85,,27.2,21.400000000000002,8.548826578804675,0,0,0,19,19,0.3332891015478597,2.5,0.11283236100941463,0.18148179998388514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.073693377759689,6.073693377759689,4.169559199480831
A_ample_prepare_i0,A,,ample,prepare,0,completed,1,SUCCESS_RELEASE,,1.2000000000000002,4.2,30.2,21.400000000000002,8.629978079723198,0,0,0,40,40,0.6151521833685873,2.500000000000002,0.1852322470777566,0.15043270000023767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.795135262750725,5.795135262750725,6.127457916920399
A_ample_prepare_i1,A,,ample,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,19.348803602559666,0,0,0,46,46,0.6784302011083093,2.500000000000002,0.21281181913326397,0.30982680001761764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3942675565834604,2.3942675565834604,5.224043134167492
A_ample_prepare_i2,A,,ample,prepare,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.85,,27.2,21.400000000000002,8.559753778127142,0,0,0,44,44,0.6349211824156924,2.500000000000002,0.19968873926859115,0.17381370003568009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.250060713873774,8.250060713873774,6.292326986019242
A_collaborative_none_i0,A,,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.670310920674705,0,0,0,27,27,0.9305424097759979,2.5,0.12549480996917922,0.336085099959746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8211056791869404,0.8211056791869404,4.253237037242199
A_collaborative_none_i1,A,,collaborative,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.667416323333622,0,0,0,12,12,0.38085588881314614,2.500000000000001,0.08141017478663595,0.34239840001100674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6741192594841452,0.6741192594841452,1.0608358944301262
A_collaborative_none_i2,A,,collaborative,none,2,completed,1,SUCCESS_RELEASE,,1.8,4.8,21.400000000000002,21.400000000000002,7.701632183159728,0,0,0,107,107,1.410088332612334,2.500000000000002,0.32721782645659886,0.16020580002805218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56552361364008,18.56552361364008,14.624770982003454
A_collaborative_prepare_i0,A,,collaborative,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.447636972083,0,0,0,56,56,0.8667110516235818,2.5,0.22445209393100257,0.5737457000068389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.201976699364988,4.201976699364988,6.422795860675384
A_collaborative_prepare_i1,A,,collaborative,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.46785737794438,0,0,0,39,39,0.6975278086557941,2.5,0.17710408885877915,0.7807870999677107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.237467105778795,3.237467105778795,2.728536174163633
A_collaborative_prepare_i2,A,,collaborative,prepare,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.8,,21.400000000000002,21.400000000000002,7.701632183159728,0,0,17,191,187,1.215275948751688,2.5,0.48510003451356126,0.3888847000198439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.608345734231637,26.608345734231637,20.16830732207881
A_short_window_none_i0,A,,short_window,none,0,started_but_failed,0,FAILURE_HANDLING,started_but_failed,2.85,,21.400000000000002,21.400000000000002,6.992611716121599,0,0,39,275,244,2.7878162400141058,2.5,0.6668775779926426,0.5178545999806374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.47608436155818,78.47608436155818,81.43559005361799
A_short_window_none_i1,A,,short_window,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,11.910841327548649,0,0,0,182,151,2.680886021818897,2.5,0.4159957709963148,0.8491142999846488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.590314750440825,41.590314750440825,50.52344064245487
A_short_window_none_i2,A,,short_window,none,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,2.9,,21.400000000000002,21.400000000000002,7.175976683573521,0,0,0,231,197,2.990595627561509,2.5,0.5384200141732121,0.5043235999764875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.76465453910957,61.76465453910957,70.50784727338772
A_short_window_prepare_i0,A,,short_window,prepare,0,started_but_failed,0,FAILURE_HANDLING,started_but_failed,3.0,,21.400000000000002,21.400000000000002,6.3807599691333055,0,0,49,319,288,2.40251519644585,2.5,0.776167118732175,0.5462256000027992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.1342032012559,98.1342032012559,93.71442108378022
A_short_window_prepare_i1,A,,short_window,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,11.807275803902439,0,0,0,215,183,2.1711303566022404,2.5,0.49122820968911407,0.8646961000049487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.899800825005855,44.899800825005855,53.849246788663336
A_short_window_prepare_i2,A,,short_window,prepare,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,3.05,,21.400000000000002,21.400000000000002,7.044876021369828,0,0,35,307,269,2.5640838881752464,2.5,0.7193452925203208,0.5428196000284515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.54468289278442,83.54468289278442,85.20661588399275
B_ample_none_i0,B,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2500000000000002,4.25,30.2,21.400000000000002,8.447329656841145,0,0,0,41,41,0.508932435182029,2.5,0.1362625660121774,0.3356999999959953,0.0,0.0,0.0,0.06299999999999999,0.115625,0.0,0.0,0.0,0.2963024999999998,0.0,0.0,4.925496022075177,4.925496022075177,6.3481629673091025
B_ample_none_i1,B,,ample,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,19.689827320359097,0,0,0,55,55,0.9882613559267879,2.5,0.1755196892683632,0.9091009999974631,0.0,0.0,0.0,0.06299999999999999,0.1375,0.0,0.0,0.0,0.4228958437499995,0.0,0.0,0.00427264145982349,0.00427264145982349,11.067873829224107
B_ample_none_i2,B,,ample,none,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.7000000000000002,,27.2,21.400000000000002,7.577056313731316,0,0,26,154,153,1.7094027460850758,2.500000000000001,0.4040454582502003,0.36739910003961995,0.0,0.0,0.0,0.06299999999999999,0.14375,0.0,0.0,0.0,0.3303013124999996,0.0,0.0,49.710063771306295,49.710063771306295,45.94323254075889
