source_run_id,method,scenario,disturbance,init_variant,mission_ok,full_window_ok,completion_time_s,completion_s_m,endpoint_ok,slot_ok,full_window_covered,min_h_mission_m,min_h_full_m,error
A_ample_none_i0,A,ample,none,0,1,0,4.2,159.96280651728785,1,1,1,0.08834251976448115,0.08834251976448115,R_post_front_rule@4.2;R_post_front_rule@4.25;R_post_front_rule@4.3;R_post_front_rule@4.35;R_post_front_rule@4.4;R_post_front_rule@4.45;R_post_front_rule@4.5;R_post_front_rule@4.55;R_post_front_rule@4.6;R_post_front_rule@4.65
A_ample_prepare_i0,A,ample,prepare,0,1,0,4.2,159.18675023152315,1,1,1,0.08834251976448115,0.08834251976448115,R_post_front_rule@4.2;R_post_front_rule@4.25;R_post_front_rule@4.3;R_post_front_rule@4.35;R_post_front_rule@4.4;R_post_front_rule@4.45;R_post_front_rule@4.5;R_post_front_rule@4.55;R_post_front_rule@4.6;R_post_front_rule@4.65
A_ample_prepare_i2,A,ample,prepare,2,0,0,4.85,170.66600287104464,0,1,1,0.060648142909066394,0.060648142909066394,endpoint_crossed_completion;R_post_front_rule@4.85;R_post_front_rule@4.9;R_post_front_rule@4.95;R_post_front_rule@5.0;R_post_front_rule@5.05;R_post_front_rule@5.1;R_post_front_rule@5.15;R_post_front_rule@5.2;R_post_front_rule@5.25
B_ample_none_i0,B,ample,none,0,1,0,4.25,163.67431387626246,1,1,1,0.05175186745746885,0.014990486916595103,R_post_front_rule@4.25;R_post_front_rule@4.3;R_post_front_rule@4.35;R_post_front_rule@4.4;R_post_front_rule@4.45;R_post_front_rule@4.5;R_post_front_rule@4.55;R_post_front_rule@4.6;R_post_front_rule@4.65;R_post_front_rule@4.7
B_ample_none_i2,B,ample,none,2,0,0,4.7,170.6533445189173,0,1,1,-0.9631913239206886,-2.6792892380007727,h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35;h_FM_negative@3.4;h_FM_negative@3.45;h_FM_negative@3.5;h_FM_negative@3.55
B_ample_prepare_i0,B,ample,prepare,0,0,0,4.25,162.67996417178497,1,1,1,-0.06733221678377532,-0.06733221678377532,h_FM_negative@3.65;h_FM_negative@3.7;h_FM_negative@3.75;h_FM_negative@3.8;h_FM_negative@3.85;h_FM_negative@3.9;h_FM_negative@3.95;h_FM_negative@4.0;R_post_front_rule@4.25;R_post_front_rule@4.3
B_ample_prepare_i2,B,ample,prepare,2,0,0,4.7,169.41681699107605,1,1,1,-1.3156608746191116,-3.8031181289294436,h_FM_negative@2.9;h_FM_negative@2.95;h_FM_negative@3.0;h_FM_negative@3.05;h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35
C_ample_none_i0,C,ample,none,0,1,0,4.25,163.66211120596972,1,1,1,0.06461966053754509,0.01532349948313616,R_post_front_rule@4.25;R_post_front_rule@4.3;R_post_front_rule@4.35;R_post_front_rule@4.4;R_post_front_rule@4.45;R_post_front_rule@4.5;R_post_front_rule@4.55;R_post_front_rule@4.6;R_post_front_rule@4.65;R_post_front_rule@4.7
C_ample_none_i2,C,ample,none,2,0,0,4.7,170.56075561999367,0,1,1,-0.8940025310813366,-2.8792884257310147,h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35;h_FM_negative@3.4;h_FM_negative@3.45;h_FM_negative@3.5;h_FM_negative@3.55;h_FM_negative@3.6
C_ample_prepare_i0,C,ample,prepare,0,0,0,4.25,162.6754773559432,1,1,1,-0.06275823901448341,-0.06275823901448341,h_FM_negative@3.65;h_FM_negative@3.7;h_FM_negative@3.75;h_FM_negative@3.8;h_FM_negative@3.85;h_FM_negative@3.9;h_FM_negative@3.95;h_FM_negative@4.0;R_post_front_rule@4.25;R_post_front_rule@4.3
C_ample_prepare_i2,C,ample,prepare,2,0,0,4.7,169.36810923989484,1,1,1,-1.2748594927294112,-3.535911211535426,h_FM_negative@2.9;h_FM_negative@2.95;h_FM_negative@3.0;h_FM_negative@3.05;h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35
D_ample_none_i0,D,ample,none,0,1,0,4.25,163.66613953291403,1,1,1,0.06037503997315241,0.011078637374144051,R_post_front_rule@4.25;R_post_front_rule@4.3;R_post_front_rule@4.35;R_post_front_rule@4.4;R_post_front_rule@4.45;R_post_front_rule@4.5;R_post_front_rule@4.55;R_post_front_rule@4.6;R_post_front_rule@4.65;R_post_front_rule@4.7
D_ample_none_i2,D,ample,none,2,0,0,4.7,170.5698054800471,0,1,1,-0.9005322065313583,-2.8587203203732754,h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35;h_FM_negative@3.4;h_FM_negative@3.45;h_FM_negative@3.5;h_FM_negative@3.55;h_FM_negative@3.6
D_ample_prepare_i0,D,ample,prepare,0,0,0,4.25,162.68003526214184,1,1,1,-0.06737000034665996,-0.06737000034665996,h_FM_negative@3.65;h_FM_negative@3.7;h_FM_negative@3.75;h_FM_negative@3.8;h_FM_negative@3.85;h_FM_negative@3.9;h_FM_negative@3.95;h_FM_negative@4.0;R_post_front_rule@4.25;R_post_front_rule@4.3
D_ample_prepare_i2,D,ample,prepare,2,0,0,4.7,169.37514879855155,1,1,1,-1.2796145651640538,-3.5206001613256372,h_FM_negative@2.9;h_FM_negative@2.95;h_FM_negative@3.0;h_FM_negative@3.05;h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35
E_ample_none_i0,E,ample,none,0,1,0,4.25,161.84265622746835,1,1,1,0.04345516861377874,0.04345516861377874,R_post_front_rule@4.25;R_post_front_rule@4.3;R_post_front_rule@4.35;R_post_front_rule@4.4;R_post_front_rule@4.45;R_post_front_rule@4.5;R_post_front_rule@4.55;R_post_front_rule@4.6;R_post_front_rule@4.65;R_post_front_rule@4.7
E_ample_prepare_i0,E,ample,prepare,0,1,0,4.25,161.4123199049874,1,1,1,0.04345516861377874,0.00011003461754199861,R_post_front_rule@4.25;R_post_front_rule@4.3;R_post_front_rule@4.35;R_post_front_rule@4.4;R_post_front_rule@4.45;R_post_front_rule@4.5;R_post_front_rule@4.55;R_post_front_rule@4.6;R_post_front_rule@4.65;R_post_front_rule@4.7
