revision,run_id,method,scenario,disturbance,init_variant,outcome,success,completion_time_s,min_net_gap_m,opening_accel_min_mps2
opening_enabled,A_ample_none_i0,A,ample,none,0,completed,1,4.2,8.629978079723198,0.0
opening_disabled,A_ample_none_i0,A,ample,none,0,completed,1,4.2,8.629978079723198,0.0
opening_enabled,B_ample_none_i0,B,ample,none,0,completed,1,4.25,8.447329656841145,0.0
opening_disabled,B_ample_none_i0,B,ample,none,0,completed,1,4.25,8.447329656841145,0.0
opening_enabled,C_ample_none_i0,C,ample,none,0,completed,1,4.25,8.463046302116009,0.0
opening_disabled,C_ample_none_i0,C,ample,none,0,completed,1,4.25,8.463046302116009,0.0
opening_enabled,D_ample_none_i0,D,ample,none,0,completed,1,4.25,8.458659315529939,0.0
opening_disabled,D_ample_none_i0,D,ample,none,0,completed,1,4.25,8.458659315529939,0.0
opening_enabled,E_ample_none_i0,E,ample,none,0,completed,1,4.2,8.651412483201664,0.0
opening_disabled,E_ample_none_i0,E,ample,none,0,completed,1,4.2,8.651412483201664,0.0
opening_enabled,A_collaborative_none_i0,A,collaborative,none,0,missed_window,0,,17.670310920674705,0.0
opening_disabled,A_collaborative_none_i0,A,collaborative,none,0,missed_window,0,,17.64692683846614,0.0
opening_enabled,B_collaborative_none_i0,B,collaborative,none,0,missed_window,0,,17.671632369311407,0.0
opening_disabled,B_collaborative_none_i0,B,collaborative,none,0,missed_window,0,,17.648414628988927,0.0
opening_enabled,C_collaborative_none_i0,C,collaborative,none,0,missed_window,0,,17.6716912274136,0.0
opening_disabled,C_collaborative_none_i0,C,collaborative,none,0,missed_window,0,,17.648424538255494,0.0
opening_enabled,D_collaborative_none_i0,D,collaborative,none,0,missed_window,0,,17.67169995838999,0.0
opening_disabled,D_collaborative_none_i0,D,collaborative,none,0,missed_window,0,,17.6484254094005,0.0
opening_enabled,E_collaborative_none_i0,E,collaborative,none,0,missed_window,0,,17.672496433659898,0.0
opening_disabled,E_collaborative_none_i0,E,collaborative,none,0,missed_window,0,,17.649318487695734,0.0
opening_enabled,A_collaborative_none_i2,A,collaborative,none,2,completed,1,4.8,7.701632183159728,0.0
opening_disabled,A_collaborative_none_i2,A,collaborative,none,2,missed_window,0,,17.623532197833708,0.0
opening_enabled,B_collaborative_none_i2,B,collaborative,none,2,missed_window,0,,17.780439218138792,0.0
opening_disabled,B_collaborative_none_i2,B,collaborative,none,2,missed_window,0,,17.588678621354983,0.0
opening_enabled,C_collaborative_none_i2,C,collaborative,none,2,missed_window,0,,17.780663376810832,0.0
opening_disabled,C_collaborative_none_i2,C,collaborative,none,2,missed_window,0,,17.587784895777883,0.0
opening_enabled,D_collaborative_none_i2,D,collaborative,none,2,missed_window,0,,17.780729922433704,0.0
opening_disabled,D_collaborative_none_i2,D,collaborative,none,2,missed_window,0,,17.58782274419975,0.0
opening_enabled,E_collaborative_none_i2,E,collaborative,none,2,completed,1,4.8,7.705312499999974,0.0
opening_disabled,E_collaborative_none_i2,E,collaborative,none,2,missed_window,0,,17.624608079607878,0.0
opening_enabled,A_collaborative_prepare_i0,A,collaborative,prepare,0,missed_window,0,,17.447636972083,0.0
opening_disabled,A_collaborative_prepare_i0,A,collaborative,prepare,0,missed_window,0,,17.44635660572676,0.0
opening_enabled,B_collaborative_prepare_i0,B,collaborative,prepare,0,missed_window,0,,17.45354334073114,0.0
opening_disabled,B_collaborative_prepare_i0,B,collaborative,prepare,0,missed_window,0,,17.448348322506614,0.0
opening_enabled,C_collaborative_prepare_i0,C,collaborative,prepare,0,missed_window,0,,17.453637118872688,0.0
opening_disabled,C_collaborative_prepare_i0,C,collaborative,prepare,0,missed_window,0,,17.448374942760278,0.0
opening_enabled,D_collaborative_prepare_i0,D,collaborative,prepare,0,missed_window,0,,17.45365933275418,0.0
opening_disabled,D_collaborative_prepare_i0,D,collaborative,prepare,0,missed_window,0,,17.44837760129702,0.0
opening_enabled,E_collaborative_prepare_i0,E,collaborative,prepare,0,missed_window,0,,17.449875503520854,0.0
opening_disabled,E_collaborative_prepare_i0,E,collaborative,prepare,0,missed_window,0,,17.447536011258034,0.0
