run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,task_phase,failure_type,merge_start_time_s,completion_time_s,physical_target_gap_m,physical_gap_floor_m,min_net_gap_m,hard_violation_count,road_violation_count,safety_recheck_violation_count,safety_correction_count,action_saturation_count,safety_correction_abs_mean_mps2,max_abs_jerk_mps3,mean_abs_jerk_mps3,compute_time_s,pair_gain_total_error_max_s-1,space_feedback_abs_mean_s-1,partner_feedback_abs_mean_s-1,effective_q_delta_abs_mean_s-1,q_saturation_fraction,space_feedback_prepare_mean_s-1,space_feedback_execute_mean_s-1,space_feedback_failure_handling_mean_s-1,mean_spatial_reference_offset_m,K_MR_mean_s-1,K_RM_mean_s-1,total_speed_deficit_distance_m,total_speed_deficit_integral_m_s,total_effort_integral_m2_s3
A_ample_none_i0,A,,ample,none,0,completed,1,SUCCESS_RELEASE,,1.2000000000000002,4.2,30.2,21.400000000000002,8.629978079723198,0,0,0,0,12,0.0,2.5,0.07947328676095843,0.14971919998060912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005911843955153808,0.005911843955153808,3.292036414711439
A_ample_none_i1,A,,ample,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,19.658754488362046,0,0,0,0,20,0.0,2.5,0.11637934410392403,0.3264142000116408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009744353676458496,0.009744353676458496,2.987099410773766
A_ample_none_i2,A,,ample,none,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.85,,27.2,21.400000000000002,8.548826578804675,0,0,0,0,16,0.0,2.5,0.09009345843125183,0.15975709998747334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0488185403427415,1.0488185403427415,3.6644534178212256
A_ample_prepare_i0,A,,ample,prepare,0,completed,1,SUCCESS_RELEASE,,1.2000000000000002,4.2,30.2,21.400000000000002,8.629978079723198,0,0,0,0,43,0.0,2.500000000000002,0.18337736756370182,0.1388814999954775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2967174549032094,2.2967174549032094,6.022365979059923
A_ample_prepare_i1,A,,ample,prepare,1,missed_window,0,FAILURE_HANDLING,missed_window,,,30.2,21.400000000000002,19.348803602559666,0,0,0,0,46,0.0,2.500000000000002,0.21281181913326397,0.3579768000054173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3942675565834604,2.3942675565834604,5.224043134167492
A_ample_prepare_i2,A,,ample,prepare,2,started_but_failed,0,FAILURE_HANDLING,started_but_failed,1.85,,27.2,21.400000000000002,8.559753778127142,0,0,0,0,46,0.0,2.500000000000002,0.18770713175332923,0.16485260002082214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103576407991033,3.103576407991033,6.107956349265126
A_collaborative_none_i0,A,,collaborative,none,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.670310920674705,0,0,0,0,27,0.0,2.5,0.12549480996917922,0.3451862000511028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8211056791869404,0.8211056791869404,4.253237037242199
A_collaborative_none_i1,A,,collaborative,none,1,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.667416323333622,0,0,0,0,12,0.0,2.500000000000001,0.08141017478663595,0.35780409997096285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6741192594841452,0.6741192594841452,1.0608358944301262
A_collaborative_none_i2,A,,collaborative,none,2,completed,1,SUCCESS_RELEASE,,1.8,4.8,21.400000000000002,21.400000000000002,7.701632183159728,0,0,0,0,100,0.0,2.500000000000002,0.29773286772138347,0.18549450003774837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.547311877843692,10.547311877843692,14.073845061054637
A_collaborative_prepare_i0,A,,collaborative,prepare,0,missed_window,0,FAILURE_HANDLING,missed_window,,,21.400000000000002,21.400000000000002,17.447636972083,0,0,0,0,56,0.0,2.5,0.22445209393100257,0.33415459998650476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.201976699364988,4.201976699364988,6.422795860675384
