run_id,method,scenario,disturbance,init_variant,first_slot_opportunity_t_s,first_slot_width_m,q_M_at_opportunity,a_M_at_opportunity,a_R_at_opportunity,first_loss_event,first_loss_t_s,merge_start_time_s,outcome,first_execute_q_M,first_execute_opening_accel_mps2,first_execute_nominal_M_mps2,first_execute_actual_M_mps2
A_ample_none_i0,A,ample,none,0,1.2,7.741442575181509,0.0,-0.8309336993718623,0.01761346270363475,,,1.2000000000000002,completed,0.0,0.0,-0.8309336993718623,-0.8309336993718623
A_collaborative_none_i0,A,collaborative,none,0,,,,,,missed_window,4.9,,missed_window,,,,
A_collaborative_none_i2,A,collaborative,none,2,1.8,0.31310493706615716,0.0,-1.1400217013887337,0.375,,,1.8,completed,0.0,0.0,-0.8213046820747066,-1.1400217013887337
A_collaborative_prepare_i0,A,collaborative,prepare,0,,,,,,missed_window,4.95,,missed_window,,,,
B_ample_none_i0,B,ample,none,0,1.15,7.59453727381306,0.48300000000000015,-0.21088376166818107,0.028693023051331465,,,1.2500000000000002,completed,0.5250000000000001,0.0,-0.2101468554032948,-0.2101468554032948
B_collaborative_none_i0,B,collaborative,none,0,,,,,,missed_window,4.8500000000000005,,missed_window,,,,
B_collaborative_none_i2,B,collaborative,none,2,,,,,,missed_window,5.0,,missed_window,,,,
B_collaborative_prepare_i0,B,collaborative,prepare,0,,,,,,missed_window,4.9,,missed_window,,,,
C_ample_none_i0,C,ample,none,0,1.15,7.59480469205613,0.48281612298762533,-0.2130684247156843,0.028693023051331465,,,1.2500000000000002,completed,0.5247591443957789,0.0,-0.2126134080379117,-0.2126134080379117
C_collaborative_none_i0,C,collaborative,none,0,,,,,,missed_window,4.8500000000000005,,missed_window,,,,
C_collaborative_none_i2,C,collaborative,none,2,,,,,,missed_window,5.0,,missed_window,,,,
C_collaborative_prepare_i0,C,collaborative,prepare,0,,,,,,missed_window,4.9,,missed_window,,,,
D_ample_none_i0,D,ample,none,0,1.15,7.59473927304478,0.48286190884618185,-0.21253760394757748,0.028693023051331465,,,1.2500000000000002,completed,0.5248188877958033,0.0,-0.2119936370430494,-0.2119936370430494
D_collaborative_none_i0,D,collaborative,none,0,,,,,,missed_window,4.8500000000000005,,missed_window,,,,
D_collaborative_none_i2,D,collaborative,none,2,,,,,,missed_window,5.0,,missed_window,,,,
D_collaborative_prepare_i0,D,collaborative,prepare,0,,,,,,missed_window,4.9,,missed_window,,,,
E_ample_none_i0,E,ample,none,0,1.2,7.70874155462657,0.0,-0.9528603158369602,0.01761346270363475,,,1.2000000000000002,completed,0.0,0.0,-0.9528603158369602,-0.9528603158369602
E_collaborative_none_i0,E,collaborative,none,0,,,,,,missed_window,4.8500000000000005,,missed_window,,,,
E_collaborative_none_i2,E,collaborative,none,2,1.8,0.3096875000002228,0.0,-1.125,0.375,,,1.8,completed,0.0,0.0,-1.0683557104486014,-1.125
E_collaborative_prepare_i0,E,collaborative,prepare,0,,,,,,missed_window,4.9,,missed_window,,,,
