source_run_id,method,scenario,disturbance,init_variant,mission_ok,full_window_ok,completion_time_s,completion_s_m,endpoint_ok,slot_ok,min_h_mission_m,min_h_full_m,error
A_ample_none_i0,A,ample,none,0,1,1,4.2,159.96280651728785,1,1,-4.1000000000000005,-4.1000000000000005,
A_ample_prepare_i0,A,ample,prepare,0,1,1,4.2,159.18675023152315,1,1,-4.1000000000000005,-4.1000000000000005,
A_ample_prepare_i2,A,ample,prepare,2,0,0,4.85,170.66600287104464,0,1,-6.39,-6.39,endpoint_crossed_completion
B_ample_none_i0,B,ample,none,0,1,1,4.25,163.67431387626246,1,1,-4.1000000000000005,-4.1000000000000005,
B_ample_none_i2,B,ample,none,2,0,0,4.7,170.6533445189173,0,1,-6.39,-6.39,h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35;h_FM_negative@3.4;h_FM_negative@3.45;h_FM_negative@3.5;h_FM_negative@3.55
B_ample_prepare_i0,B,ample,prepare,0,0,0,4.25,162.67996417178497,1,1,-4.1000000000000005,-4.1000000000000005,h_FM_negative@3.65;h_FM_negative@3.7;h_FM_negative@3.75;h_FM_negative@3.8;h_FM_negative@3.85;h_FM_negative@3.9;h_FM_negative@3.95;h_FM_negative@4.0
B_ample_prepare_i2,B,ample,prepare,2,0,0,4.7,169.41681699107605,1,1,-6.39,-6.39,h_FM_negative@2.9;h_FM_negative@2.95;h_FM_negative@3.0;h_FM_negative@3.05;h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35
C_ample_none_i0,C,ample,none,0,1,1,4.25,163.66211120596972,1,1,-4.1000000000000005,-4.1000000000000005,
C_ample_none_i2,C,ample,none,2,0,0,4.7,170.56075561999367,0,1,-6.39,-6.39,h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35;h_FM_negative@3.4;h_FM_negative@3.45;h_FM_negative@3.5;h_FM_negative@3.55;h_FM_negative@3.6
C_ample_prepare_i0,C,ample,prepare,0,0,0,4.25,162.6754773559432,1,1,-4.1000000000000005,-4.1000000000000005,h_FM_negative@3.65;h_FM_negative@3.7;h_FM_negative@3.75;h_FM_negative@3.8;h_FM_negative@3.85;h_FM_negative@3.9;h_FM_negative@3.95;h_FM_negative@4.0
C_ample_prepare_i2,C,ample,prepare,2,0,0,4.7,169.36810923989484,1,1,-6.39,-6.39,h_FM_negative@2.9;h_FM_negative@2.95;h_FM_negative@3.0;h_FM_negative@3.05;h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35
D_ample_none_i0,D,ample,none,0,1,1,4.25,163.66613953291403,1,1,-4.1000000000000005,-4.1000000000000005,
D_ample_none_i2,D,ample,none,2,0,0,4.7,170.5698054800471,0,1,-6.39,-6.39,h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35;h_FM_negative@3.4;h_FM_negative@3.45;h_FM_negative@3.5;h_FM_negative@3.55;h_FM_negative@3.6
D_ample_prepare_i0,D,ample,prepare,0,0,0,4.25,162.68003526214184,1,1,-4.1000000000000005,-4.1000000000000005,h_FM_negative@3.65;h_FM_negative@3.7;h_FM_negative@3.75;h_FM_negative@3.8;h_FM_negative@3.85;h_FM_negative@3.9;h_FM_negative@3.95;h_FM_negative@4.0
D_ample_prepare_i2,D,ample,prepare,2,0,0,4.7,169.37514879855155,1,1,-6.39,-6.39,h_FM_negative@2.9;h_FM_negative@2.95;h_FM_negative@3.0;h_FM_negative@3.05;h_FM_negative@3.1;h_FM_negative@3.15;h_FM_negative@3.2;h_FM_negative@3.25;h_FM_negative@3.3;h_FM_negative@3.35
E_ample_none_i0,E,ample,none,0,1,1,4.25,161.84265622746835,1,1,-4.1000000000000005,-4.1000000000000005,
E_ample_prepare_i0,E,ample,prepare,0,1,1,4.25,161.4123199049874,1,1,-4.1000000000000005,-4.1000000000000005,
