run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,speed_deficit_integral_m_s,accel_squared_integral,abs_jerk_integral,abs_nominal_actual_difference_integral,safety_correction_count,safety_correction_abs_integral,action_saturation_count,safety_recheck_violation_count,distance_m,min_net_gap_m,min_FR_gap_m,min_RB_gap_m,min_MF_gap_m,min_MR_gap_m,prepare_speed_deficit_distance_m,execute_speed_deficit_distance_m,success_release_speed_deficit_distance_m,failure_handling_speed_deficit_distance_m,prepare_distance_m,execute_distance_m,success_release_distance_m,failure_handling_distance_m
A_ample_none_i0,A,,ample,none,0,M,0.0,0.0,2.9591496711376744,1.9248397567195898,0.01206445312499993,0.0,0.0,2.0,0.0,299.16204851746454,8.629978079723198,nan,nan,10.643318570662426,8.629978079723198,0.0,0.0,0.0,0.0,26.073260511149797,59.88954600613805,213.1992420001767,0.0
A_ample_none_i0,A,,ample,none,0,R,0.005911843955153808,0.005911843955153808,0.12073085218879234,1.7305743327474683,0.051455833650524384,0.0,0.0,5.0,0.0,289.24125042052657,8.629978079723198,29.558133590028273,17.082054002538836,nan,8.629978079723198,0.0,0.0,0.005911843955153808,0.0,21.795951285057228,54.467025486914864,212.97827364855448,0.0
A_ample_none_i0,A,,ample,none,0,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,3.0,0.0,288.60536708812697,10.643318570662426,29.558133590028273,nan,10.643318570662426,nan,0.0,0.0,0.0,0.0,21.991434035977505,54.19813547027434,212.41579758187513,0.0
A_ample_none_i0,A,,ample,none,0,B,0.0,0.0,0.10833445141061919,0.6446266941436904,0.007721330492195478,0.0,0.0,2.0,0.0,294.35919641798773,17.082054002538836,nan,17.082054002538836,nan,nan,0.0,0.0,0.0,0.0,21.772468930659564,55.36761328828175,217.2191141990464,0.0
A_ample_none_i1,A,,ample,none,1,M,0.0,0.0,2.539418911665765,4.2789849546025565,0.37067224459706666,0.0,0.0,11.0,0.0,301.50502045679326,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,99.40311304571631,0.0,0.0,202.10190741107695
A_ample_none_i1,A,,ample,none,1,R,0.009744353676458496,0.009744353676458496,0.21520714258281265,1.5357648847214984,0.030070049236108082,0.0,0.0,4.0,0.0,295.5807527505958,19.658754488362046,23.224614337531147,19.658754488362046,nan,nan,0.007517281359941564,0.0,0.0,0.0022270723165169317,88.0138909887433,0.0,0.0,207.56686176185252
A_ample_none_i1,A,,ample,none,1,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,3.0,0.0,288.60536708812697,23.224614337531147,23.224614337531147,nan,nan,nan,0.0,0.0,0.0,0.0,87.89638487964936,0.0,0.0,200.7089822084776
A_ample_none_i1,A,,ample,none,1,B,0.0,0.0,0.12865191655083508,0.8472786142364979,0.012090571663026777,0.0,0.0,2.0,0.0,298.1219982622338,19.658754488362046,nan,19.658754488362046,nan,nan,0.0,0.0,0.0,0.0,89.20716331800851,0.0,0.0,208.91483494422528
A_ample_none_i2,A,,ample,none,2,M,0.0,0.0,2.789160072438587,1.8060177694809365,0.008728216861727561,0.0,0.0,3.0,0.0,300.0073430331771,8.548826578804675,nan,nan,9.29802405494986,8.548826578804675,0.0,0.0,0.0,0.0,39.877929893198754,57.92633038897823,0.0,202.20308275100012
A_ample_none_i2,A,,ample,none,2,R,0.8667566503853844,0.8667566503853844,0.5610489940346953,2.493410557026606,0.20577074771718967,0.0,0.0,8.0,0.0,288.21423935004435,8.548826578804675,27.03431716231317,17.277687524678992,nan,8.548826578804675,0.312316708749284,0.0,0.0,0.5544399416361002,33.1593001097319,53.78251576866273,0.0,201.27242347164972
A_ample_none_i2,A,,ample,none,2,F,0.0,0.0,0.10382143997435297,0.7862495690905905,0.025187499999999908,0.0,0.0,3.0,0.0,288.60536708812697,9.29802405494986,27.03431716231317,nan,9.29802405494986,nan,0.0,0.0,0.0,0.0,33.783725746730994,53.21226042000461,0.0,201.60938092139136
A_ample_none_i2,A,,ample,none,2,B,0.1820618899573571,0.1820618899573571,0.21042291137359012,0.6803034440019836,0.0073672113606861635,0.0,0.0,2.0,0.0,293.63655182536536,17.277687524678992,nan,17.277687524678992,nan,nan,0.1820618899573571,0.0,0.0,0.0,33.20320424057792,54.40404558893948,0.0,206.02930199584796
A_ample_prepare_i0,A,,ample,prepare,0,M,0.0,0.0,3.7903549569874304,2.630542328566442,0.04412288838255271,0.0,0.0,5.0,0.0,297.8104880346604,8.629978079723198,nan,nan,10.667610109458177,8.629978079723198,0.0,0.0,0.0,0.0,26.073260511149797,59.11348972037335,212.62373780313726,0.0
A_ample_prepare_i0,A,,ample,prepare,0,R,1.1422278067311347,1.1422278067311347,0.6330554885121068,3.0108136226003293,0.03684498273452284,0.0,0.0,4.0,0.0,287.55419329459903,8.629978079723198,29.703391392859654,16.84968634664865,nan,8.629978079723198,0.0,0.8284727187444585,0.3137550879866764,0.0,21.795951285057228,53.332809916075334,212.42543209346647,0.0
