run_id,t_s,event,decision,valid_plan,reason,candidate_count,decision_seconds,action,start_s,completion_s,completion_s_m,completion_t_s,predicted_min_h_m,predicted_min_net_m,execution_margin_mps2,gradient_M,gradient_R,partner_M,partner_R,feedback_M,feedback_R,K_MR,K_RM,W,z_M,z_R,delta_z_M,delta_z_R
P_collaborative_none_i0,0.0,plan_generated,1,1,,102,0.09863110003061593,new_joint_plan,1.5,155.6812499999998,155.6812499999998,4.5,0.01790625000000201,7.914968749999997,2.0,1.299461479866325,2.4948940178130523,0.0,0.0,-0.02339030663759385,-0.04490809232063494,0.16,0.16,0.7203125325753532,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999
P_collaborative_none_i0,0.5,plan_generated,1,1,,7,0.07603850000305101,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.06106249999999758,7.958124999999993,2.1500000000000004,1.4594231988166482,-1.2337789475770646,0.0,0.0,-0.026269617578699667,0.02220802105638716,0.16,0.16,0.7352594219529154,0.6166666666666666,0.2833333333333333,-0.050000000000000044,0.0
P_collaborative_none_i0,1.0,plan_generated,1,1,,7,0.06431139999767765,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.017093750000006125,7.939968750000003,2.1500000000000004,1.1860389665396187,1.7844163261306838,0.0,0.0,-0.021348701397713134,-0.0321194938703523,0.16,0.16,0.7746013696589711,0.6166666666666666,0.23333333333333334,0.0,-0.04999999999999999
P_collaborative_none_i0,1.5,plan_generated,1,1,,7,0.06017050001537427,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.017093750000006125,7.939968750000003,2.1500000000000004,1.0012692608149056,1.2934000903052125,0.0,0.0,-0.0180228466946683,-0.023281201625493825,0.16,0.16,0.7727172590420601,0.6166666666666666,0.18333333333333335,0.0,-0.04999999999999999
P_collaborative_none_i0,2.0,plan_generated,1,1,,7,0.049905699968803674,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.3214062500002477,7.975218749999795,2.1500000000000004,0.7245523031996153,0.9552250161909273,0.0,0.0,-0.013041941457593074,-0.01719405029143669,0.16,0.16,0.7167395781124268,0.6166666666666666,0.13333333333333336,0.0,-0.04999999999999999
P_collaborative_none_i0,2.5,plan_generated,1,1,,7,0.04113069997401908,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.09331249999979097,7.5095624999998,2.1500000000000004,0.5075024999999906,0.6439948983989741,0.0,0.0,-0.009135044999999831,-0.011591908171181532,0.16,0.16,0.6619115419995814,0.6166666666666666,0.08333333333333336,0.0,-0.05
P_collaborative_none_i0,3.0,plan_generated,1,1,,7,0.03167070000199601,hold_and_refine,1.5,156.90756249999984,156.90756249999984,4.5,0.390843749999811,7.80709374999982,2.2750000000000004,8.801573624032923,-19.227680769718777,0.0,0.0,-0.072,0.072,0.16,0.16,0.6106105836106009,0.5666666666666665,0.08333333333333336,-0.050000000000000044,0.0
P_collaborative_none_i0,3.5,plan_generated,1,1,,7,0.023819299996830523,hold_and_refine,1.5,156.90756249999984,156.90756249999984,4.499999999999999,0.14562499999977074,7.64018749999978,2.3000000000000003,0.18761749999999117,0.21141640222445135,0.0,0.0,-0.003377114999999841,-0.003805495240040124,0.16,0.16,0.5636853352654185,0.5666666666666665,0.033333333333333354,0.0,-0.05
P_collaborative_none_i0,4.0,plan_generated,1,1,,7,0.01604870002483949,hold_and_refine,1.5,156.92571874999985,156.92571874999985,4.499999999999997,0.21940624999976688,7.713968749999776,2.4250000000000003,0.08616749999999665,0.08890454815234491,0.0,0.0,-0.0015510149999999395,-0.0016002818667422084,0.16,0.16,0.521540467031171,0.5166666666666665,0.033333333333333354,-0.050000000000000044,0.0
P_collaborative_prepare_i0,0.0,plan_generated,1,1,,102,0.0934902000008151,new_joint_plan,1.5,155.6812499999998,155.6812499999998,4.5,0.01790625000000201,7.914968749999997,2.0,1.299461479866325,2.4948940178130523,0.0,0.0,-0.02339030663759385,-0.04490809232063494,0.16,0.16,0.7203125325753532,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999
P_collaborative_prepare_i0,0.5,plan_generated,1,1,,7,0.07494020002195612,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.06106249999999758,7.958124999999993,2.1500000000000004,1.4594231988166482,-1.2337789475770646,0.0,0.0,-0.026269617578699667,0.02220802105638716,0.16,0.16,0.7352594219529154,0.6166666666666666,0.2833333333333333,-0.050000000000000044,0.0
P_collaborative_prepare_i0,1.0,plan_generated,1,1,,7,0.06298919999971986,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.017093750000006125,7.939968750000003,2.1500000000000004,1.1860389665396187,1.7844163261306838,0.0,0.0,-0.021348701397713134,-0.0321194938703523,0.16,0.16,0.7746013696589711,0.6166666666666666,0.23333333333333334,0.0,-0.04999999999999999
P_collaborative_prepare_i0,1.5,plan_generated,1,1,,7,0.05625209998106584,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.017093750000006125,7.939968750000003,2.1500000000000004,1.0012692608149023,1.2934000903052114,0.0,0.0,-0.01802284669466824,-0.023281201625493804,0.16,0.16,0.7732096494802632,0.6166666666666666,0.18333333333333335,0.0,-0.04999999999999999
P_collaborative_prepare_i0,2.0,plan_generated,1,1,,7,0.04820740001741797,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.1060244501588592,7.975218749999795,1.9766434318984873,0.7245523031996164,0.9552250161909295,0.0,0.0,-0.013041941457593093,-0.017194050291436728,0.16,0.16,0.7256306958480321,0.6166666666666666,0.13333333333333336,0.0,-0.04999999999999999
P_collaborative_prepare_i0,2.5,plan_generated,1,1,,7,0.0413593000266701,hold_and_refine,1.5,156.74065624999983,156.74065624999983,4.5,0.09331249999979097,7.5095624999998,1.8520015336584024,0.5075024999999906,0.6439948983989752,0.0,0.0,-0.009135044999999831,-0.011591908171181551,0.16,0.16,0.6871183019261935,0.6166666666666666,0.08333333333333336,0.0,-0.05
P_collaborative_prepare_i0,3.0,plan_generated,1,1,,7,0.03147250000620261,hold_and_refine,1.5,156.90756249999984,156.90756249999984,4.5,0.390843749999811,7.80709374999982,1.6020015336584024,8.801573624032924,-19.227680769718773,0.0,0.0,-0.072,0.072,0.16,0.16,0.6502771827027648,0.5666666666666665,0.08333333333333336,-0.050000000000000044,0.0
P_collaborative_prepare_i0,3.5,plan_generated,1,1,,7,0.02564810001058504,hold_and_refine,1.5,156.90756249999984,156.90756249999984,4.499999999999999,0.14562499999977074,7.64018749999978,2.25286403993388,0.1876174999999895,0.21141640222445024,0.0,0.0,-0.003377114999999811,-0.003805495240040104,0.16,0.16,0.6059707845595159,0.5666666666666665,0.033333333333333354,0.0,-0.05
P_collaborative_prepare_i0,4.0,plan_generated,1,1,,7,0.017332499963231385,hold_and_refine,1.5,156.92571874999985,156.92571874999985,4.499999999999997,0.21940624999976688,7.713968749999776,2.4057272119173403,0.0861674999999961,0.08890454815234625,0.0,0.0,-0.0015510149999999295,-0.0016002818667422323,0.16,0.16,0.5614320390972019,0.5166666666666665,0.033333333333333354,-0.050000000000000044,0.0
P_collaborative_none_i2,0.0,plan_generated,1,1,,102,0.0967833999893628,new_joint_plan,2.0,161.0562499999998,161.0562499999998,5.0,0.0062500000002625455,7.671843749999991,2.0,-8.334292964654223,3.221349391820648,0.0,0.0,0.072,-0.057984289052771656,0.16,0.16,0.5936371930361336,0.6666666666666666,0.2833333333333333,0.0,-0.04999999999999999
P_collaborative_none_i2,0.5,plan_generated,1,1,,7,0.08005740004591644,hold_and_refine,2.0,161.0562499999998,161.0562499999998,5.0,0.0062500000002625455,7.671843749999991,2.0,-8.262070925553395,-0.8017689023764742,0.0,0.0,0.072,0.014431840242776535,0.16,0.16,0.6172775259199641,0.6666666666666666,0.2833333333333333,0.0,0.0
P_collaborative_none_i2,1.0,plan_generated,1,1,,7,0.07358349999412894,hold_and_refine,2.0,161.0562499999998,161.0562499999998,5.0,0.0062500000002625455,7.598062499999981,2.0,-2.9561573098839795,2.3459928064690887,0.0,0.0,0.05321083157791163,-0.04222787051644359,0.16,0.16,0.6622162153585653,0.6666666666666666,0.23333333333333334,0.0,-0.04999999999999999
P_collaborative_none_i2,1.5,plan_generated,1,1,,7,0.06640960002550855,hold_and_refine,2.0,161.0562499999998,161.0562499999998,5.0,0.0062500000002625455,7.598062499999981,2.0,2.1818073031887324,-16.248563268158485,0.0,0.0,-0.03927253145739718,0.072,0.16,0.16,0.7224077458148848,0.6666666666666666,0.23333333333333334,0.0,0.0
