run_id,method,ablation,scenario,disturbance,init_variant,vehicle,speed_deficit_distance_m,safety_correction_count,action_saturation_count,max_abs_jerk_mps3
P_collaborative_none_i0,P,,collaborative,none,0,M,36.26215618869057,55,71,2.5
P_collaborative_none_i0,P,,collaborative,none,0,R,52.08146623623232,70,81,2.5000000000000004
P_collaborative_none_i0,P,,collaborative,none,0,F,0.0,0,0,0.0
P_collaborative_none_i0,P,,collaborative,none,0,B,44.47012403871227,24,24,2.500000000000002
P_collaborative_prepare_i0,P,,collaborative,prepare,0,M,36.26403922331103,55,71,2.5
P_collaborative_prepare_i0,P,,collaborative,prepare,0,R,52.081744402633205,70,81,2.5000000000000004
P_collaborative_prepare_i0,P,,collaborative,prepare,0,F,1.2972109757490824,29,29,2.5
P_collaborative_prepare_i0,P,,collaborative,prepare,0,B,44.470161247884036,24,24,2.500000000000002
P_collaborative_none_i2,P,,collaborative,none,2,M,157.03770495484792,139,126,41.999999999964096
P_collaborative_none_i2,P,,collaborative,none,2,R,160.00175628630495,121,87,30.93333335005454
P_collaborative_none_i2,P,,collaborative,none,2,F,0.0,0,0,0.0
P_collaborative_none_i2,P,,collaborative,none,2,B,144.45311116354412,116,86,51.63840823043748
P_ample_none_i0,P,,ample,none,0,M,3.6178740512587084,38,47,2.5000000000000044
P_ample_none_i0,P,,ample,none,0,R,1.0796278685392817,11,11,2.5
P_ample_none_i0,P,,ample,none,0,F,0.0,3,3,2.5
P_ample_none_i0,P,,ample,none,0,B,0.0,12,12,2.5
P_ample_prepare_i0,P,,ample,prepare,0,M,3.508560367639323,20,29,2.5
P_ample_prepare_i0,P,,ample,prepare,0,R,1.6681155310382203,3,3,2.5
P_ample_prepare_i0,P,,ample,prepare,0,F,1.1544896481720752,32,32,2.500000000000002
P_ample_prepare_i0,P,,ample,prepare,0,B,0.0,2,2,2.5
S1_collaborative_none_i0,S1,,collaborative,none,0,M,12.637170052127079,18,31,2.5
S1_collaborative_none_i0,S1,,collaborative,none,0,R,36.67502544671813,20,29,2.5
S1_collaborative_none_i0,S1,,collaborative,none,0,F,0.0,0,0,0.0
S1_collaborative_none_i0,S1,,collaborative,none,0,B,30.262873165558748,1,1,2.5
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,M,17.126394136679362,46,59,2.5
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,R,38.359095784371895,46,55,2.5000000000000044
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,F,1.2972109757490824,29,29,2.5
