run_id,method,ablation,scenario,disturbance,init_variant,outcome,success,geometry_completed,merge_start_time_s,completion_time_s,planner_first_time_s,planner_first_valid_time_s,planner_replans,planner_mean_compute_time_s,planner_p95_compute_time_s,planner_max_compute_time_s,planner_candidate_count,planner_total_candidate_count,planner_decision_count,planner_predicted_completion_s_m,planner_predicted_completion_t_s,planner_predicted_min_h_m,speed_deficit_prepare_m,speed_deficit_execute_m,speed_deficit_handoff_m,speed_deficit_normal_follow_m,speed_deficit_failure_handling_m,total_speed_deficit_distance_m,total_effort_integral_m2_s3,max_abs_jerk_mps3,safety_correction_count,action_saturation_count,empty_action_steps,handoff_duration_s,handoff_min_h_MR_m,completion_relative_v_MR_mps,completion_relative_a_MR_mps2,completion_rear_braking_demand_mps2,recovery_time_s,compute_time_s,mission_valid,full_window_valid,error
P_collaborative_none_i0,P,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.13647798887945506,0.20766358000691978,0.22699350002221763,17.555555555555557,158,9,155.6812499999998,4.5,3.0692812500005298,0.7386250000000066,11.040966426506662,7.499692449472988,21.339591347289872,0,40.61887522326953,16.461881821959416,2.5,0,1,0,1.0,4.394531249999898,0.26124999999998266,-0.5499999999999996,0.42500000000000004,1.0,1.409135600028094,1,1,
P_collaborative_prepare_i0,P,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.12514638889115304,0.2048608800047077,0.2213118000072427,17.555555555555557,158,9,155.6812499999998,4.5,2.266510611563425,0.7448750000000068,12.094400034553567,7.488060664682388,23.771086338090896,0,44.098422037326856,17.99813600079772,2.5,2,30,0,1.0,3.276656568217211,-0.19077916969651199,-0.5482824756554494,0.42500000000000004,1.0,1.321848499996122,1,1,
P_collaborative_none_i2,P,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.13741143001243472,0.23956434501451437,0.25632230000337586,16.5,165,10,161.0562499999998,5.0,3.2120340474089044,3.086106243574482,19.435171250909015,11.078686951867132,39.681474493843794,0,73.28143894019442,24.012387434452567,2.5,0,1,0,1.0,3.2377194641890368,-0.055000000000038796,-0.3999999999999997,0.575,1.0,1.5268642000155523,1,1,
P_ample_none_i0,P,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.10575961111398,0.16520548003027213,0.17601780005497858,17.555555555555557,158,9,164.93753124999995,4.5,1.6158304029232013,0.0,0.0,0.0,3.4472901625591454,0,3.4472901625591454,3.4715775212944684,2.500000000000001,0,5,0,1.0,7.124499999999408,1.1199999999999974,-0.4000000000000001,0.0,1.0,1.0971408000332303,1,1,
P_ample_prepare_i0,P,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.11285288888676506,0.1758253999869339,0.19493479997618124,17.555555555555557,158,9,164.93753124999995,4.5,0.4336059791800757,0.0,1.0773535929694311,0.05458878052502883,4.970798282845308,0,6.102740656339768,5.266428412803048,2.500000000000002,0,34,0,1.0,7.143843749999455,1.0462499999999935,-0.55,0.0,1.0,1.15491209999891,1,1,
S1_collaborative_none_i0,S1,,collaborative,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.11611314443224627,0.1807693800074048,0.19967709999764338,17.555555555555557,158,9,155.6812499999998,4.5,3.581647269662424,0.85125000000001,16.636221198054315,12.457354656606313,59.353849294073974,0,89.29867514873462,33.01275512484002,2.5,0,1,0,1.0,3.7945298242662853,-0.42499999999999716,-1.0,0.875,1.0,1.195783500035759,1,1,
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.12115155556239188,0.18889852000866084,0.20185700000729412,17.555555555555557,158,9,155.6812499999998,4.5,3.581647264696384,0.8575000000000103,17.84267056157036,12.506412333292378,59.4028258361461,0,90.60940873100884,34.25901375367838,2.5,0,30,0,1.0,3.7945298242662853,-0.42499999999999716,-1.0,0.875,1.0,1.247626600030344,1,1,
S1_collaborative_none_i2,S1,,collaborative,none,2,completed,1,1,2.0,5.0,0.0,0.0,10,0.13126802000333554,0.20655484500166488,0.2353917000000365,16.5,165,10,161.0562499999998,5.0,4.090729561506476,3.4057785193890617,25.063522288204688,15.617580727550953,77.08658449255967,0,121.17346602770436,38.81558093479919,2.5,0,1,0,1.0,4.344013877291671,-0.3249999999999851,-1.0,0.875,1.0,1.4950262000202201,1,1,
S1_ample_none_i0,S1,,ample,none,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.1260011555471768,0.18798195999115705,0.20419379998929799,17.555555555555557,158,9,163.64062499999986,4.5,4.358754811682802,0.0,0.045000000000017165,0.5813495466922148,2.0725023802380464,0,2.6988519269302786,4.73606803918173,2.5,0,5,0,1.0,4.362603192390722,-0.3250000000000597,-1.0,0.125,1.0,1.3273180999676697,1,1,
S1_ample_prepare_i0,S1,,ample,prepare,0,completed,1,1,1.5000000000000002,4.5,0.0,0.0,9,0.13067178888013586,0.2147718799882568,0.23782360000768676,17.555555555555557,158,9,163.64062499999986,4.5,3.5552828379451995,0.0,1.1223535929694481,0.6351322860722316,3.469858602552057,0,5.227344481593737,6.093843003746429,2.500000000000002,0,34,0,1.0,4.357573925782027,-0.3250000000000597,-1.0,0.125,1.0,1.3292324999929406,1,1,
