environment_id,scenario,disturbance,init_variant,method_a,method_b,a_mission_valid,b_mission_valid,a_full_valid,b_full_valid,common_mission,common_full,cost_a_m,cost_b_m,delta_b_minus_a_all_m,delta_b_minus_a_common_mission_m,delta_b_minus_a_common_full_m
ample_none_i0,ample,none,0,P,S1,1,1,1,1,1,1,3.4472901625591454,2.6988519269302786,-0.7484382356288668,-0.7484382356288668,-0.7484382356288668
ample_none_i0,ample,none,0,P,S2,1,1,1,1,1,1,3.4472901625591454,5.007094442546285,1.5598042799871399,1.5598042799871399,1.5598042799871399
ample_none_i0,ample,none,0,P,S3,1,1,1,1,1,1,3.4472901625591454,4.630427060660217,1.183136898101072,1.183136898101072,1.183136898101072
ample_none_i0,ample,none,0,S1,S2,1,1,1,1,1,1,2.6988519269302786,5.007094442546285,2.3082425156160067,2.3082425156160067,2.3082425156160067
ample_none_i0,ample,none,0,S1,S3,1,1,1,1,1,1,2.6988519269302786,4.630427060660217,1.9315751337299387,1.9315751337299387,1.9315751337299387
ample_none_i0,ample,none,0,S2,S3,1,1,1,1,1,1,5.007094442546285,4.630427060660217,-0.37666738188606796,-0.37666738188606796,-0.37666738188606796
ample_none_i1,ample,none,1,P,S1,1,1,1,1,1,1,73.05740943433408,178.83382160584438,105.7764121715103,105.7764121715103,105.7764121715103
ample_none_i1,ample,none,1,P,S2,1,1,1,1,1,1,73.05740943433408,95.25879059617743,22.201381161843358,22.201381161843358,22.201381161843358
ample_none_i1,ample,none,1,P,S3,1,1,1,1,1,1,73.05740943433408,101.16295464920863,28.105545214874553,28.105545214874553,28.105545214874553
ample_none_i1,ample,none,1,S1,S2,1,1,1,1,1,1,178.83382160584438,95.25879059617743,-83.57503100966694,-83.57503100966694,-83.57503100966694
ample_none_i1,ample,none,1,S1,S3,1,1,1,1,1,1,178.83382160584438,101.16295464920863,-77.67086695663575,-77.67086695663575,-77.67086695663575
ample_none_i1,ample,none,1,S2,S3,1,1,1,1,1,1,95.25879059617743,101.16295464920863,5.904164053031195,5.904164053031195,5.904164053031195
ample_none_i2,ample,none,2,P,S1,1,1,1,1,1,1,15.968606300826872,52.8696947331824,36.90108843235553,36.90108843235553,36.90108843235553
ample_none_i2,ample,none,2,P,S2,1,1,1,1,1,1,15.968606300826872,34.60498619736568,18.636379896538813,18.636379896538813,18.636379896538813
ample_none_i2,ample,none,2,P,S3,1,1,1,1,1,1,15.968606300826872,33.95758135453781,17.988975053710938,17.988975053710938,17.988975053710938
ample_none_i2,ample,none,2,S1,S2,1,1,1,1,1,1,52.8696947331824,34.60498619736568,-18.264708535816716,-18.264708535816716,-18.264708535816716
ample_none_i2,ample,none,2,S1,S3,1,1,1,1,1,1,52.8696947331824,33.95758135453781,-18.91211337864459,-18.91211337864459,-18.91211337864459
ample_none_i2,ample,none,2,S2,S3,1,1,1,1,1,1,34.60498619736568,33.95758135453781,-0.6474048428278749,-0.6474048428278749,-0.6474048428278749
