run_id,method,ablation,scenario,disturbance,init_variant,stage,speed_deficit_distance_m
P_collaborative_none_i0,P,,collaborative,none,0,prepare,0.7386250000000066
P_collaborative_none_i0,P,,collaborative,none,0,execute,11.040966426506662
P_collaborative_none_i0,P,,collaborative,none,0,handoff,7.499692449472988
P_collaborative_none_i0,P,,collaborative,none,0,normal_follow,21.339591347289872
P_collaborative_none_i0,P,,collaborative,none,0,failure_handling,0
P_collaborative_prepare_i0,P,,collaborative,prepare,0,prepare,0.7448750000000068
P_collaborative_prepare_i0,P,,collaborative,prepare,0,execute,12.094400034553567
P_collaborative_prepare_i0,P,,collaborative,prepare,0,handoff,7.488060664682388
P_collaborative_prepare_i0,P,,collaborative,prepare,0,normal_follow,23.771086338090896
P_collaborative_prepare_i0,P,,collaborative,prepare,0,failure_handling,0
P_collaborative_none_i2,P,,collaborative,none,2,prepare,3.086106243574482
P_collaborative_none_i2,P,,collaborative,none,2,execute,19.435171250909015
P_collaborative_none_i2,P,,collaborative,none,2,handoff,11.078686951867132
P_collaborative_none_i2,P,,collaborative,none,2,normal_follow,39.681474493843794
P_collaborative_none_i2,P,,collaborative,none,2,failure_handling,0
P_ample_none_i0,P,,ample,none,0,prepare,0.0
P_ample_none_i0,P,,ample,none,0,execute,0.0
P_ample_none_i0,P,,ample,none,0,handoff,0.0
P_ample_none_i0,P,,ample,none,0,normal_follow,3.4472901625591454
P_ample_none_i0,P,,ample,none,0,failure_handling,0
P_ample_prepare_i0,P,,ample,prepare,0,prepare,0.0
P_ample_prepare_i0,P,,ample,prepare,0,execute,1.0773535929694311
P_ample_prepare_i0,P,,ample,prepare,0,handoff,0.05458878052502883
P_ample_prepare_i0,P,,ample,prepare,0,normal_follow,4.970798282845308
P_ample_prepare_i0,P,,ample,prepare,0,failure_handling,0
S1_collaborative_none_i0,S1,,collaborative,none,0,prepare,0.85125000000001
S1_collaborative_none_i0,S1,,collaborative,none,0,execute,16.636221198054315
S1_collaborative_none_i0,S1,,collaborative,none,0,handoff,12.457354656606313
S1_collaborative_none_i0,S1,,collaborative,none,0,normal_follow,59.353849294073974
S1_collaborative_none_i0,S1,,collaborative,none,0,failure_handling,0
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,prepare,0.8575000000000103
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,execute,17.84267056157036
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,handoff,12.506412333292378
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,normal_follow,59.4028258361461
S1_collaborative_prepare_i0,S1,,collaborative,prepare,0,failure_handling,0
S1_collaborative_none_i2,S1,,collaborative,none,2,prepare,3.4057785193890617
S1_collaborative_none_i2,S1,,collaborative,none,2,execute,25.063522288204688
S1_collaborative_none_i2,S1,,collaborative,none,2,handoff,15.617580727550953
S1_collaborative_none_i2,S1,,collaborative,none,2,normal_follow,77.08658449255967
S1_collaborative_none_i2,S1,,collaborative,none,2,failure_handling,0
S1_ample_none_i0,S1,,ample,none,0,prepare,0.0
S1_ample_none_i0,S1,,ample,none,0,execute,0.045000000000017165
S1_ample_none_i0,S1,,ample,none,0,handoff,0.5813495466922148
S1_ample_none_i0,S1,,ample,none,0,normal_follow,2.0725023802380464
S1_ample_none_i0,S1,,ample,none,0,failure_handling,0
S1_ample_prepare_i0,S1,,ample,prepare,0,prepare,0.0
S1_ample_prepare_i0,S1,,ample,prepare,0,execute,1.1223535929694481
S1_ample_prepare_i0,S1,,ample,prepare,0,handoff,0.6351322860722316
S1_ample_prepare_i0,S1,,ample,prepare,0,normal_follow,3.469858602552057
S1_ample_prepare_i0,S1,,ample,prepare,0,failure_handling,0
S2_collaborative_none_i0,S2,,collaborative,none,0,prepare,0.8913213053952916
S2_collaborative_none_i0,S2,,collaborative,none,0,execute,14.691252023250435
S2_collaborative_none_i0,S2,,collaborative,none,0,handoff,10.518815273183002
S2_collaborative_none_i0,S2,,collaborative,none,0,normal_follow,31.85416343076463
S2_collaborative_none_i0,S2,,collaborative,none,0,failure_handling,0
